name,promotion,gender,active,notes
Ace Steel,TNA,men,true,
AJ Francis,TNA,men,true,
Alisha Edwards,TNA,women,true,
Angel Warriors,TNA,women,true,
Ash By Elegance,TNA,women,true,
BDE,TNA,men,true,
Brian Myers,TNA,men,true,
Cassie Lee,TNA,women,true,
Cedric Alexander,TNA,men,true,
Chris Bey,TNA,men,true,
Dani Luna,TNA,women,true,
Dezmond Xavier,TNA,men,true,
Dutch,TNA,men,true,
Eddie Edwards,TNA,men,true,
Elijah,TNA,men,true,
Eric Young,TNA,men,true,
Gia Miller,TNA,women,true,
Harley Hudson,TNA,women,true,
Heather By Elegance,TNA,women,true,
Indi Hartwell,TNA,women,true,
Jada Stone,TNA,women,true,
Jason Hotch,TNA,men,true,
JDC,TNA,men,true,
Jeff Hardy,TNA,men,true,
Jessie McKay,TNA,women,true,
Jody Threat,TNA,women,true,
John Skyler,TNA,men,true,
Judas Icarus,TNA,men,true,
KC Navarro,TNA,men,true,
Killer Kelly,TNA,women,true,
KiLynn King,TNA,women,true,
M By Elegance,TNA,women,true,
Mance Warner,TNA,men,true,
Mara Sadè,TNA,women,true,
Matt Hardy,TNA,men,true,
Matthew Rehwoldt,TNA,men,true,
McKenzie Mitchell,TNA,women,true,
Mike Santana,TNA,men,true,
Mila Moore,TNA,women,true,
Moose,TNA,men,true,
Mustafa Ali,TNA,men,true,
Myla Grace,TNA,women,true,
Myron Reed,TNA,men,true,
Nic Nemeth,TNA,men,true,
Order 4,TNA,men,true,
Rich Swann,TNA,men,true,
Rosemary,TNA,women,true,
Ryan Nemeth,TNA,men,true,
Sami Callihan,TNA,men,true,
Santino Marella,TNA,men,true,
Sinner & Saint,TNA,men,true,
Special Agent 0,TNA,men,true,
Steph De Lander,TNA,women,true,
Steve Maclin,TNA,men,true,
Tasha Steelz,TNA,women,true,
Tessa Blanchard,TNA,women,true,
The Elegance Brand,TNA,women,true,
The Great Hands,TNA,men,true,
The Home Town Man,TNA,men,true,
The Personal Concierge,TNA,men,true,
The Rascalz,TNA,men,true,
The Righteous,TNA,men,true,
The System,TNA,men,true,
Tom Hannifan,TNA,men,true,
Travis Williams,TNA,men,true,
Trey Miguel,TNA,men,true,
Victoria Crawford,TNA,women,true,
Vincent,TNA,men,true,
Xia Brookside,TNA,women,true,
Zachary Wentz,TNA,men,true,
