name,promotion,gender,roster_year
A-Train,WWE,men,2003
Akio,WWE,men,2003
Al Snow,WWE,men,2003
Batista,WWE,men,2003
Big Show,WWE,men,2003
Bill DeMott,WWE,men,2003
Billy Gunn,WWE,men,2003
Billy Kidman,WWE,men,2003
Booker T,WWE,men,2003
Bradshaw,WWE,men,2003
Brock Lesnar,WWE,men,2003
The Brooklyn Brawler,WWE,men,2003
Bubba Ray Dudley,WWE,men,2003
Buddy Wayne,WWE,men,2003
B²,WWE,men,2003
Charlie Haas,WWE,men,2003
Chavo Guerrero,WWE,men,2003
Chris Benoit,WWE,men,2003
Chris Jericho,WWE,men,2003
Chris Kanyon,WWE,men,2003
Christian,WWE,men,2003
Christopher Nowinski,WWE,men,2003
Chuck Palumbo,WWE,men,2003
Crash Holly,WWE,men,2003
D'Lo Brown,WWE,men,2003
D-Von Dudley,WWE,men,2003
Danny Basham,WWE,men,2003
Doug Basham,WWE,men,2003
Dr. Tom Prichard,WWE,men,2003
Eddie Guerrero,WWE,men,2003
Edge,WWE,men,2003
Eric Bischoff,WWE,men,2003
Ernest Miller,WWE,men,2003
Faarooq,WWE,men,2003
Funaki,WWE,men,2003
Garrison Cade,WWE,men,2003
Goldberg,WWE,men,2003
Goldust,WWE,men,2003
Hardcore Holly,WWE,men,2003
Howard Finkel,WWE,men,2003
Hugo Savinovich,WWE,men,2003
Hulk Hogan,WWE,men,2003
The Hurricane,WWE,men,2003
Jamal,WWE,men,2003
Jamie Noble,WWE,men,2003
Jeff Hardy,WWE,men,2003
"Jerry ""The King"" Lawler",WWE,men,2003
Jim Cornette,WWE,men,2003
Jim Ross,WWE,men,2003
John Cena,WWE,men,2003
Johnny Stamboli,WWE,men,2003
Jon Heidenreich,WWE,men,2003
Jonathan Coachman,WWE,men,2003
Josh Mathews,WWE,men,2003
Justin Credible,WWE,men,2003
Justin Roberts,WWE,men,2003
Kane,WWE,men,2003
Kevin Kelly,WWE,men,2003
Kevin Nash,WWE,men,2003
Kurt Angle,WWE,men,2003
Lance Storm,WWE,men,2003
Mark Henry,WWE,men,2003
Mark Jindrak,WWE,men,2003
Matt Hardy,WWE,men,2003
Matt Morgan,WWE,men,2003
Maven,WWE,men,2003
Michael Cole,WWE,men,2003
Mike Knox,WWE,men,2003
Mr. McMahon,WWE,men,2003
Nathan Jones,WWE,men,2003
Nunzio,WWE,men,2003
Orlando Jordan,WWE,men,2003
Paul Heyman,WWE,men,2003
Paul London,WWE,men,2003
Randy Orton,WWE,men,2003
Raven,WWE,men,2003
Redd Dogg,WWE,men,2003
René Duprée,WWE,men,2003
Rey Mysterio,WWE,men,2003
Rhyno,WWE,men,2003
Ric Flair,WWE,men,2003
Rico,WWE,men,2003
Rikishi,WWE,men,2003
Rob Conway,WWE,men,2003
Rob Van Dam,WWE,men,2003
The Rock,WWE,men,2003
Rosey,WWE,men,2003
"""Rowdy"" Roddy Piper",WWE,men,2003
Sakoda,WWE,men,2003
Scott Steiner,WWE,men,2003
Scotty 2 Hotty,WWE,men,2003
Sean O'Haire,WWE,men,2003
Shane McMahon,WWE,men,2003
Shannon Moore,WWE,men,2003
Shawn Michaels,WWE,men,2003
Shelton Benjamin,WWE,men,2003
Spanky,WWE,men,2003
Spike Dudley,WWE,men,2003
Steven Richards,WWE,men,2003
"""Stone Cold"" Steve Austin",WWE,men,2003
Sylvain Grenier,WWE,men,2003
Tajiri,WWE,men,2003
Tazz,WWE,men,2003
Test,WWE,men,2003
Theodore Long,WWE,men,2003
Tommy Dreamer,WWE,men,2003
Tony Chimel,WWE,men,2003
Triple H,WWE,men,2003
The Undertaker,WWE,men,2003
Val Venis,WWE,men,2003
William Regal,WWE,men,2003
Xavier,WWE,men,2003
Zach Gowen,WWE,men,2003
Último Dragón,WWE,men,2003
