name,promotion,gender,roster_year
A-Kid,WWE,men,2020
Adam Cole,WWE,men,2020
Adam Pearce,WWE,men,2020
Aiden English,WWE,men,2020
AJ Styles,WWE,men,2020
Akam,WWE,men,2020
Akira Tozawa,WWE,men,2020
Aleister Black,WWE,men,2020
Alexander Wolfe,WWE,men,2020
Amir Jordan,WWE,men,2020
Andrade,WWE,men,2020
Andy Shepherd,WWE,men,2020
Angel Garza,WWE,men,2020
Angelo Dawkins,WWE,men,2020
Apollo Crews,WWE,men,2020
Ariya Daivari,WWE,men,2020
Arturo Ruas,WWE,men,2020
Ashante "Thee" Adonis,WWE,men,2020
Ashton Smith,WWE,men,2020
August Grey,WWE,men,2020
Austin Theory,WWE,men,2020
Big E,WWE,men,2020
Big Show,WWE,men,2020
Bo Dallas,WWE,men,2020
Boa,WWE,men,2020
Bobby Fish,WWE,men,2020
Bobby Lashley,WWE,men,2020
Booker T,WWE,men,2020
Braun Strowman,WWE,men,2020
Bray Wyatt / The Fiend,WWE,men,2020
Brendan Vink,WWE,men,2020
Brian Kendrick,WWE,men,2020
Brock Lesnar,WWE,men,2020
Bronson Reed,WWE,men,2020
Bruce Prichard,WWE,men,2020
Byron Saxton,WWE,men,2020
Cain Velasquez,WWE,men,2020
Cameron Grimes,WWE,men,2020
Cedric Alexander,WWE,men,2020
Cesaro,WWE,men,2020
Cezar Bononi,WWE,men,2020
Chad Gable,WWE,men,2020
Chase Parker,WWE,men,2020
Chris Park,WWE,men,2020
Corey Graves,WWE,men,2020
Curt Hawkins,WWE,men,2020
Curt Stallion,WWE,men,2020
Curtis Axel,WWE,men,2020
Dabba-Kato,WWE,men,2020
Damian Priest,WWE,men,2020
Daniel Bryan,WWE,men,2020
Danny Burch,WWE,men,2020
Dash Wilder,WWE,men,2020
Dave Mastiff,WWE,men,2020
Dennis Arnell,WWE,men,2020
Desmond Troy,WWE,men,2020
Dexter Lumis,WWE,men,2020
Dolph Ziggler,WWE,men,2020
Dominik Mysterio,WWE,men,2020
Drake Maverick,WWE,men,2020
Drew Gulak,WWE,men,2020
Drew McIntyre,WWE,men,2020
EC3,WWE,men,2020
Eddie Dennis,WWE,men,2020
Edge,WWE,men,2020
Eli Knight,WWE,men,2020
Elias,WWE,men,2020
Epico Colón,WWE,men,2020
Eric Young,WWE,men,2020
Erick Rowan,WWE,men,2020
Erik,WWE,men,2020
Ezra Judge,WWE,men,2020
Fabian Aichner,WWE,men,2020
Fandango,WWE,men,2020
