name,promotion,gender,roster_year
Aalyah Mysterio,WWE,women,2020
Aleah James,WWE,women,2020
Alexa Bliss,WWE,women,2020
Alicia Taylor,WWE,women,2020
Aliyah,WWE,women,2020
Alyse Ashton,WWE,women,2020
Amale,WWE,women,2020
Aoife Valkyrie,WWE,women,2020
Asuka,WWE,women,2020
Bayley,WWE,women,2020
Becky Lynch,WWE,women,2020
Beth Phoenix,WWE,women,2020
Bianca Belair,WWE,women,2020
Billie Kay,WWE,women,2020
Briana Brandy,WWE,women,2020
Candice LeRae,WWE,women,2020
Candy Floss,WWE,women,2020
Carmella,WWE,women,2020
Catalina,WWE,women,2020
Cathy Kelley,WWE,women,2020
Charlotte Flair,WWE,women,2020
Charly Caruso,WWE,women,2020
Chelsea Green,WWE,women,2020
Dakota Kai,WWE,women,2020
Dana Brooke,WWE,women,2020
Dani Luna,WWE,women,2020
Deonna Purrazzo,WWE,women,2020
Ember Moon,WWE,women,2020
Emily Andzulis,WWE,women,2020
Francesca Brown,WWE,women,2020
Indi Hartwell,WWE,women,2020
Io Shirai,WWE,women,2020
Isla Dawn,WWE,women,2020
Jazzy Gabert,WWE,women,2020
Jessamyn Duke,WWE,women,2020
Jessi Kamea,WWE,women,2020
Jinny,WWE,women,2020
JoJo,WWE,women,2020
Kacy Catanzaro,WWE,women,2020
Kairi Sane,WWE,women,2020
Kavita Devi,WWE,women,2020
Kay Lee Ray,WWE,women,2020
Kayden Carter,WWE,women,2020
Kayla Braxton,WWE,women,2020
Killer Kelly,WWE,women,2020
Lacey Evans,WWE,women,2020
Lana,WWE,women,2020
Liv Morgan,WWE,women,2020
Mandy Rose,WWE,women,2020
Maria Kanellis,WWE,women,2020
Marina Shafir,WWE,women,2020
Maryse,WWE,women,2020
McKenzie Mitchell,WWE,women,2020
Meiko Satomura,WWE,women,2020
Mercedes Martinez,WWE,women,2020
Mickie James,WWE,women,2020
MJ Jenkins,WWE,women,2020
Naomi,WWE,women,2020
Natalya,WWE,women,2020
Nia Jax,WWE,women,2020
Nikki Cross,WWE,women,2020
Nina Samuels,WWE,women,2020
Peyton Royce,WWE,women,2020
Piper Niven,WWE,women,2020
Rachael Evers,WWE,women,2020
Raquel González,WWE,women,2020
RECKONING,WWE,women,2020
Rhea Ripley,WWE,women,2020
Ruby Riott,WWE,women,2020
Santana Garrett,WWE,women,2020
Sarah Logan,WWE,women,2020
Sarah Schreiber,WWE,women,2020
Sasha Banks,WWE,women,2020
Scarlett,WWE,women,2020
Shayna Baszler,WWE,women,2020
Shotzi Blackheart,WWE,women,2020
Sonya Deville,WWE,women,2020
Tamina,WWE,women,2020
Taynara,WWE,women,2020
Tegan Nox,WWE,women,2020
Toni Storm,WWE,women,2020
Valentina Feroz,WWE,women,2020
Vanessa Borne,WWE,women,2020
Xia Brookside,WWE,women,2020
Xia Li,WWE,women,2020
Zelina Vega,WWE,women,2020
