name,promotion,gender,active,notes
Adam Pearce,WWE,men,true,
Adriana Rizzo,WWE,women,true,
AJ Lee,WWE,women,true,
AJ Styles,WWE,men,true,
Akira Tozawa,WWE,men,true,
Alba Fyre,WWE,women,true,
Aleister Black,WWE,men,true,
Alex Shelley,WWE,men,true,
Alexa Bliss,WWE,women,true,
Alicia Taylor,WWE,women,true,
Andre Chase,WWE,men,true,
Angel,WWE,men,true,
Angelo Dawkins,WWE,men,true,
Apollo Crews,WWE,men,true,
Arianna Grace,WWE,women,true,
Asuka,WWE,women,true,
Austin Theory,WWE,men,true,
Ava,WWE,women,true,
Axiom,WWE,men,true,
B-Fab,WWE,women,true,
Bayley,WWE,women,true,
Becky Lynch,WWE,women,true,
Berto,WWE,men,true,
Bianca Belair,WWE,women,true,
Big E,WWE,men,true,
Blake Howard,WWE,men,true,
Blake Monroe,WWE,men,true,
Booker T,WWE,men,true,
Brinley Reece,WWE,women,true,
Brock Lesnar,WWE,men,true,
Bron Breakker,WWE,men,true,
Bronco Nima,WWE,men,true,
Bronson Reed,WWE,men,true,
Brooks Jensen,WWE,men,true,
Brutus Creed,WWE,men,true,
Byron Saxton,WWE,men,true,
Candice LeRae,WWE,women,true,
Carlee Bright,WWE,women,true,
Carmelo Hayes,WWE,men,true,
Cathy Kelley,WWE,women,true,
Chad Gable,WWE,men,true,
"Channing ""Stacks"" Lorenzo",WWE,men,true,
Charlie Dempsey,WWE,men,true,
Charlotte Flair,WWE,women,true,
Chelsea Green,WWE,women,true,
Chris Sabin,WWE,men,true,
CM Punk,WWE,men,true,
Cody Rhodes,WWE,men,true,
Corey Graves,WWE,men,true,
Cruz Del Toro,WWE,men,true,
Cutler James,WWE,men,true,
Damian Priest,WWE,men,true,
Dante Chen,WWE,men,true,
Dexter Lumis,WWE,men,true,
Dion Lennox,WWE,men,true,
Dominik Mysterio,WWE,men,true,
Dragon Lee,WWE,men,true,
Drew McIntyre,WWE,men,true,
El Grande Americano,WWE,men,true,
Elton Prince,WWE,men,true,
